user_name,user_id,nickname,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
magiclinks,6719504280841520134,MagicLinks,6907421713324199173,Have you done them all?? #MagicLinks #MakeItMagical #influencer #monetize #dos,1608259464,9,https://www.tiktok.com/@magiclinks/video/6907421713324199173?lang=en,12,0,1,193
magiclinks,6719504280841520134,MagicLinks,6922879193667636485,Go make that money honey 💰💃🏻 #monetize #monetizetiktok #tiktokcreator #MagicLinks #influencer #influencersinthewild,1611858429,28,https://www.tiktok.com/@magiclinks/video/6922879193667636485?lang=en,11,0,0,185
magiclinks,6719504280841520134,MagicLinks,6940699260761443590,I hope that these tips helped! #tiktoktips #magiclinks #monetize #howtomakemoney #makemoney,1616007479,29,https://www.tiktok.com/@magiclinks/video/6940699260761443590?lang=en,11,0,0,196
paguintotwins,6777041320467121157,Paguinto Twins,6950691407665450245,Come to work with me! #officetour #magiclinks #takeabite #petsontiktok #graphicdesign,1618333958,25,https://www.tiktok.com/@paguintotwins/video/6950691407665450245?lang=en,11,0,0,177
magiclinks,6719504280841520134,MagicLinks,6944046049321438469,Support your favorite creators by doing these things! #tiktoktips #howtomakemoney #monetize #brands #magiclinks,1616786714,10,https://www.tiktok.com/@magiclinks/video/6944046049321438469?lang=en,11,0,0,204
magiclinks,6719504280841520134,MagicLinks,6943663190479801605,The list will probably get longer... #magiclinks #tiktoktips #howtomakemoney #monetize #brands,1616697573,22,https://www.tiktok.com/@magiclinks/video/6943663190479801605?lang=en,11,0,1,85
magiclinks,6719504280841520134,MagicLinks,6894404629858192645,Get to making those links!! #MagicLinks #monetize #makemoney #influencer #creator #commission #HolidayCountdown #links,1605228699,14,https://www.tiktok.com/@magiclinks/video/6894404629858192645?lang=en,10,0,0,88
magiclinks,6719504280841520134,MagicLinks,6911419760899017989,Apply today! #MagicLinks #monetize #influencer #makemoney #money,1609190326,36,https://www.tiktok.com/@magiclinks/video/6911419760899017989?lang=en,10,0,0,341
magiclinks,6719504280841520134,MagicLinks,6888860356488334598,Let MagicLinks help you avoid these! #magiclinks #influencers #mistakes #Iremember #monetize #commission #money,1603937832,15,https://www.tiktok.com/@magiclinks/video/6888860356488334598?lang=en,10,0,0,109
magiclinks,6719504280841520134,MagicLinks,6956320835347205381,tips from top earner @nataliebarbu #socialmediatips #socialmediagrowth #influencercoach #monetize #magiclinks #howtomakemoney #influencermarketing,1619644661,28,https://www.tiktok.com/@magiclinks/video/6956320835347205381?lang=en,10,1,1,200
