video_id,description,creation_time,duration,author_id,username,nickname,music_id,song_title,music_author_name,diggs,shares,comments,plays
6.88E+18,,1602001985,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,39700,941,658,179700
6.88E+18,Reply to @allieeeeee15 I must scream,1602001078,12,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,7282,40,91,84900
6.88E+18,Reply to @tornen1 me am flapjack 🥰 #flapjack #impression #comedy #fyp,1602000917,18,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,10100,57,135,85800
6.88E+18,Reply to @truly_sin sooooo I can’t do a Morty impression 😂 #imrpession #fyp #rickandmorty,1602000786,14,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,14400,75,250,138700
6.88E+18,"If you have not seen @mr.brun0’s video, he does a good job of relaying the situation. I hate that I have to say this, but for those that forgot:",1602000664,59,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,15200,146,317,99400
6.88E+18,every episode of Beyond Scared Straight:,1601962679,13,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,74500,909,767,357700
6.88E+18,Reply to @thedeath.expert I wanna move to Colorado 🥰 #colorado #fyp #florida #comedy,1601953370,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,37300,96,1502,221100
6.88E+18,Reply to @xebed “bing bing ba bing”,1601952836,12,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,82000,829,2697,372100
6.88E+18,I have been on a true crime kick lately and am SO excited to read all my crime books 🥰 #truecrime #fyp #halloween,1601933223,19,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,44300,97,555,248100
6.88E+18,,1601931613,7,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,17800,17,203,149500
6.88E+18,Reply to @bucketbrigade WHY WAS DOODLEBOB SO SASSY THOUGH 😂😂 #doodlebob #fyp #impression #foryou,1601929531,9,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,18600,508,238,149600
6.88E+18,missing my best friend a lil’ extra today 🥺 @caytemps #fyp #missyou #spooktober,1601929449,15,6.72E+18,mrhamilton,Casey Hamilton,6.63E+18,Dreams (2018 Remaster),Fleetwood Mac,54300,52,796,473900
6.88E+18,Reply to @fuxkkurchickenstrips “Nobody can eat 50 eggs.” #nobodycaneat50eggs #fyp #seniorquote,1601922807,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,38300,141,679,224300
6.88E+18,Reply to @lilbishybish,1601922713,14,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,25400,282,365,189500
6.88E+18,@danpovenmire,1601921066,11,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,26700,133,424,168600
6.88E+18,"#duet with @mswolfmath guess I gotta book it on over to Vegas, huh? 🥰 #fyp #foryou #vegastrip #mswolf",1601919514,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,36700,51,380,282700
6.88E+18,sometimes ya got toof freckles 🥰,1601917869,7,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,10100,47,127,86400
6.88E+18,#duet with @fairhopeherps where is that child now? who knows... #fyp #dancy,1601873817,11,6.72E+18,mrhamilton,Casey Hamilton,2.91E+17,Beggin by Madcon,•.* .doll. *.•,45600,66,167,277400
6.88E+18,#duet with @thatonelilmama WHY DID I HAVE TINY MOUTH 😂 I love this so much this is exactly my humor in art form,1601872674,14,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,51200,33,77,329500
6.88E+18,Reply to @aundreusb,1601872523,8,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,35300,515,290,205000
